Cytotoxic T-lymphocyte	TS-0190
Cytolytic T-cell	TS-0190
Cytolytic T lymphocyte	TS-0190
Cytolytic T-lymphocyte	TS-0190
Dander	TS-0191
Hair dandruff	TS-0191
Dart gland	TS-0192
Digitiform gland	TS-0192
Decidua	TS-0193
Uterine decidua	TS-0193
Placenta decidua cells	TS-0193
Placenta decidual cells	TS-0193
Dendritic cell	TS-0194
Dental pulp	TS-0195
Pulpa dentis	TS-0195
Tooth pulp	TS-0195
Dermal melanophore	TS-0196
Dermal system	TS-1299
Dermoid cancer	TS-0197
Diaphragm	TS-0198
Diaphragm muscle	TS-0198
Diencephalon	TS-0199
Digestive gland	TS-0200
Digestive juice	TS-0201
Distal colon	TS-0202
Distal colon epithelium	TS-0203
Distal colon epithelial cell	TS-0203
Distal colon mucosa	TS-1160
Distal nephron	TS-0204
Distal small intestine	TS-0205
Dormant root	TS-0206
Dorsal ganglionic sheath	TS-1197
Dorsal lip	TS-0207
Dorsal skin	TS-0208
Dorsal-abdominal integument	TS-0209
Dry seed	TS-0210
Seed	TS-0210
Ductus ejaculatorius	TS-0211
Duodenal adenocarcinoma	TS-0212
Duodenum glandular cell	TS-1275
Duodenum glandular cells	TS-1275
Duodenal mucosa	TS-0213
Duodenum mucosa	TS-0213
Duodenum	TS-0214
Ear	TS-1165
Ear of corn	TS-0215
Ectoderm	TS-0216
Embryonic ectoderm	TS-0216
Ectomesenchyme	TS-1178
Mesectoderm	TS-1178
Ectoplacental cone	TS-0217
Egg jelly	TS-0218
Egg white	TS-0219
Egg yolk	TS-0220
Egg	TS-0221
Eggshell matrix	TS-0222
Ehrlich ascites tumor cell	TS-0223
Ejaculatory bulb	TS-0224
Electric lobe	TS-0225
Lobus electricus	TS-0225
Electric organ	TS-0226
Electromotor nucleus	TS-0227
Electroplax	TS-0228
Embryo	TS-0229
Embryonic	TS-0229
Embryonic tissue	TS-0229
Whole embryo	TS-0229
Parthenogenote	TS-0229
Embryoid bodies	TS-0230
Embryonic brain	TS-0231
Embryonic breast	TS-0232
Embryonic callus	TS-0233
Embryonic carcinoma	TS-0234
Embryonal carcinoma	TS-0234
Embryonic chondrocyte	TS-0235
Embryonic claw	TS-0236
Embryonic epithelium	TS-0237
Embryonic eye	TS-0238
Embryonic fibroblast	TS-0239
Embryonic floor plate	TS-0240
Embryonic foot	TS-0241
Embryonic ganglion	TS-0242
Embryonic germ cell	TS-0243
Embryonic gizzard	TS-0244
Embryonic gonad	TS-0245
Embryonic head	TS-0246
Embryonic heart	TS-0247
Embryonic intestine	TS-0248
Embryonic gut	TS-0248
Embryonic intestinal tract	TS-0248
Embryonic kidney	TS-0249
Embryonic lens	TS-0250
Embryonic limb	TS-0251
Embryonic liver	TS-0252
Embryonic lung	TS-0253
Embryonic lung fibroblast	TS-0254
Embryonic muscle	TS-0255
Embryonic ovary	TS-0256
Embryonic pectoralis muscle	TS-0257
Embryonic retina	TS-0258
Embryonic rhabdomyosarcoma	TS-1139
Embryonic skeletal muscle	TS-0259
Embryonic skin	TS-0260
Embryonic spinal cord	TS-0261
Embryonic spinal ganglion	TS-0262
Embryonic dorsal root ganglion	TS-0262
Embryonic spleen	TS-1338
Embryonic stem cell	TS-0263
ES cell	TS-0263
Embryonic sternal cartilage	TS-0264
Embryonic stomach	TS-1152
Embryonic tail	TS-0265
Embryonic testis	TS-0266
Embryonic testis carcinoma	TS-0267
Embryonic thymus	TS-0268
Embryonic tooth	TS-0269
Enamel epithelium	TS-0270
Enamel epithelial cell	TS-0270
Tooth enamel epithelium	TS-0270
Tooth enamel epithelial cell	TS-0270
Enamel organ	TS-0271
Dental organ	TS-0271
Endocarp	TS-0272
Fruit endocarp	TS-0272
Endocrine gland	TS-1300
Ductless gland	TS-1300
Endocrine system	TS-1301
Endocrine pancreas	TS-1302
Endocrine part of pancreas	TS-1302
Endoderm	TS-0273
Embryonic endoderm	TS-0273
Endometrial adenocarcinoma	TS-0274
Endometrial cancer	TS-1222
Endometrium cancer	TS-1222
Endometrium malignant tumor	TS-1222
Endometrium malignant tumour	TS-1222
Endometrial malignant tumor	TS-1222
Endometrial malignant tumour	TS-1222
Endometrial tumor	TS-0275
Endometrium tumor	TS-0275
Endometrial tumour	TS-0275
Endometrium	TS-0276
Endometrial	TS-0276
Uterus endometrium	TS-0276
Uterine endometrium	TS-0276
Tunica mucosa uteri	TS-0276
Endometrium stroma	TS-1266
Endometrial stroma	TS-1266
Endometrial stromal cell	TS-1266
Endometrium stromal cell	TS-1266
Uterus endometrium stroma	TS-1266
Uterine endometrium stroma	TS-1266
Cells in endometrial stroma	TS-1266
Stroma of endometrium	TS-1266
Endosperm	TS-0277
Endothelial cell	TS-0278
Endothelial	TS-0278
Endothelium	TS-0278
Endothelial cells	TS-0278
Eosinophil	TS-0279
Eosinophilic granulocyte	TS-0279
Ependymocyte	TS-0280
Epicotyl	TS-0281
Epidermal carcinoma	TS-0282
Epidermoid carcinoma	TS-0282
Epidermis	TS-0283
Epiderm	TS-0283
Epidermal	TS-0283
Epidermal cells	TS-0283
Skin epidermal cells	TS-0283
Epididymal fluid	TS-0284
Epididymis	TS-0285
Epididymal	TS-0285
Epididymis glandular cell	TS-1276
Epididymal glandular cell	TS-1276
Epididymis glandular cells	TS-1276
Epigonal organ	TS-0286
Epiphyseal cartilage	TS-0287
Epithelium	TS-0288
Epithelial	TS-0288
Epithelial cell	TS-0288
Erythroblast	TS-0289
Erythrocyte	TS-0290
Red blood cell	TS-0290
Corpuscle	TS-0290
RBC	TS-0290
Erythroid cell	TS-0291
Erythroid	TS-0291
Erythroid lineage cell	TS-0291
Erythroleukemia	TS-0292
Erythroleukaemia	TS-0292
Erythroleukemic	TS-0292
Erythroleukaemic	TS-0292
Polycythemia rubra	TS-0292
Vasquez disease	TS-0292
Etiolated bud	TS-0293
Etiolated cotyledon	TS-0294
Etiolated epicotyl	TS-0295
Etiolated hypocotyl	TS-0296
Etiolated leaf	TS-0297
Etiolated plantlet	TS-0298
Etiolated root	TS-0299
Etiolated seedling	TS-0300
Etiolated shoot	TS-0301
Ewing sarcoma	TS-0302
Ewing's sarcoma	TS-0302
Ewing's	TS-0302
Exocarp	TS-0303
Fruit exocarp	TS-0303
Epicarp	TS-0303
Exocrine pancreas	TS-1241
Exocrine part of pancreas	TS-1241
Extraembryonic tissue	TS-0304
Extraocular muscle	TS-0305
EOM	TS-0305
Extrapallial fluid	TS-0306
Eye	TS-0309
Ocular	TS-0309
Oculus	TS-0309
Eyeball	TS-0309
Eye imaginal disk	TS-0307
Eye disk	TS-0307
Eye disc	TS-0307
Eye imaginal disc	TS-0307
Eye vitreous humor	TS-0308
Vitreous humor	TS-0308
Eye-antennal disk	TS-0310
Eye antennal disc	TS-0310
Eye-antennal imaginal disk	TS-0310
Eyestalk	TS-0311
Eye stalk	TS-0311
Fast swimbladder muscle	TS-0313
Fast-twitch skeletal muscle	TS-0314
Fast skeletal muscle	TS-0314
Fast muscle	TS-0314
Fat body	TS-0315
Fat-body cell	TS-0315
Feather	TS-0316
Feather calamus	TS-0317
Feather root	TS-0318
Female accessory gland	TS-0319
Female cone	TS-0320
Female reproductive system	TS-1303
Femoral artery	TS-0321
Femur	TS-0322
Thighbone	TS-0322
Femoral bone	TS-0322
Fetal adrenal gland	TS-0323
Fetal adrenal tissue	TS-0323
Fetal aorta	TS-0324
Fetal ascending colon	TS-1148
Fetal astrocyte	TS-0325
Fetal B-cell	TS-0326
Fetal B-lymphocyte	TS-0326
Fetal B lymphocyte	TS-0326
Fetal B cell	TS-0326
Fetal blood	TS-0327
Fetal brain	TS-0328
Foetal brain	TS-0328
Fetal brain cortex	TS-1211
Fetal cerebral cortex	TS-1211
Fetal cerebrum cortex	TS-1211
Fetal cerebellar cortex	TS-1211
Fetal cerebellum cortex	TS-1211
Fetal cortex	TS-1211
Fetal pallium	TS-1211
Foetal cerebral cortex	TS-1211
Foetal cerebrum cortex	TS-1211
Foetal cerebellar cortex	TS-1211
Foetal cerebellum cortex	TS-1211
Foetal cortex	TS-1211
Foetal pallium	TS-1211
Fetal cartilage	TS-0329
Fetal cerebellum	TS-0330
Fetal colon	TS-0331
Fetal cotyledon	TS-0332
Fetal epiphyseal cartilage	TS-0333
Fetal eye	TS-0334
Fetal fibroblast	TS-0335
Fetal forelimb	TS-1161
Fetal gonad	TS-0336
Fetal head	TS-0337
Fetal heart	TS-0338
Fetal intestine	TS-0339
Fetal gut	TS-0339
Fetal jaw	TS-0340
Fetal keratinocyte	TS-0341
Fetal kidney	TS-0342
Fetal limb	TS-0343
Fetal liver	TS-0344
Fetal lung	TS-0345
Fetal lung fibroblast	TS-0346
Fetal medulla	TS-1156
Fetal muscle	TS-0347
Fetal esophagus	TS-1185
Fetal oesophagus	TS-1185
Fetal pancreas	TS-0348
Fetal pons	TS-1144
Fetal retina	TS-0349
Fetal serum	TS-0350
Fetal blood serum	TS-0350
Fetal skeletal muscle	TS-0351
Fetal skin	TS-0352
Fetal smooth muscle	TS-0353
Fetal spinal cord	TS-0354
Fetal spinal column	TS-0354
Fetal spleen	TS-0355
Fetal sternum	TS-0356
Fetal breastbone	TS-0356
Fetal stomach	TS-1203
Fetal gaster	TS-1203
Fetal gastric tissue	TS-1203
Fetal testis	TS-0357
Fetal thymocyte	TS-0358
Fetal thymus	TS-0359
Fetus	TS-0360
Foetus	TS-0360
Fetal	TS-0360
Fiber	TS-0361
Fibroblast	TS-0362
Fibroblasts	TS-0362
Fibroma	TS-0363
Fibrosarcoma	TS-0364
Fibrotic liver	TS-0365
Fifth instar larvae	TS-0366
Fifth instar larvae cuticle	TS-1151
